Emb1,TCFLef,sec1,945909.2990000001
Emb1,TCFLef,sec2,822335.4920000001
Emb1,TCFLef,sec3,1102374.274
Emb1,pCIG,sec1,1132045.187
Emb1,pCIG,sec2,1027161.257
Emb1,pCIG,sec3,733545.3559999999
Emb2,TCFLef,sec1,2899928.811
Emb2,TCFLef,sec2,2506573.687
Emb2,TCFLef,sec3,2742059.723
Emb2,pCIG,sec1,1809653.701
Emb2,pCIG,sec2,999406.552
Emb2,pCIG,sec3,1392965.164
Emb3,TCFLef,sec1,1711017.765
Emb3,TCFLef,sec2,1420520.4
Emb3,TCFLef,sec3,2499119.296
Emb3,pCIG,sec1,1534481.885
Emb3,pCIG,sec2,1273403.5590000001
Emb3,pCIG,sec3,1321449.663
Emb4,TCFLef,sec1,698723.3979999999
Emb4,TCFLef,sec2,1138411.956
Emb4,TCFLef,sec3,546994.145
Emb4,pCIG,sec1,981774.668
Emb4,pCIG,sec2,687725.3570000001
Emb4,pCIG,sec3,587252.567
Emb5,TCFLef,sec1,1184035.011
Emb5,TCFLef,sec2,803733.162
Emb5,TCFLef,sec3,885478.046
Emb5,pCIG,sec1,1753854.1840000001
Emb5,pCIG,sec2,1440419.7659999998
Emb5,pCIG,sec3,1666554.628
Emb9,TCFLef,sec1,1032845.215
Emb9,TCFLef,sec2,756288.7629999999
Emb9,TCFLef,sec3,608486.225
Emb9,pCIG,sec1,1632769.485
Emb9,pCIG,sec2,847496.2779999999
Emb9,pCIG,sec3,857926.52
