Embryo,Cntl Area,Expt Area,Expt/Cntl Area,Cntl Length,Expt Length,Expt/Cntl Length,Expt Date
Emb1,175461.19199999998,80479.84700000001,0.4586760529929605,301.491,153.327,0.508562444650089,20180514
Emb12,109171.194,46395.269,0.4249772059834758,251.73450000000003,125.446,0.498326609979959,20180514
Emb13,123418.55099999999,46528.007000000005,0.37699362553689364,246.9965,95.5215,0.38673220065871383,20180514
Emb3,279810.30199999997,167292.402,0.5978779223075211,361.4945,264.2035,0.7308645083120213,20180514
Emb6,91024.33,61834.182,0.679314882076034,160.55374999999998,137.3015,0.8551746689192873,20180514
Emb7,153440.583,72836.448,0.47468829025499726,291.858,138.9675,0.47614764714347385,20180514
Emb8,91293.51699999999,56188.045999999995,0.6154658933777302,176.963,106.33475000000001,0.600886908562807,20180514
