 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,31.330,17.438,8,32,546.310,10602
2,Cad6B:background,22.106,17.324,8,32,382.964,7432
3,Cad6B:background,22.827,17.481,7,37,399.041,7744
4,Cad6B:Cntl,5956.134,116.349,8,8512,692991.003,13448563
5,Cad6B:Expt,3304.297,131.744,9,8512,435322.969,8448116
6,Snai2:background,31.330,68.470,40,123,2145.152,41630
7,Snai2:background,22.106,69.555,35,107,1537.574,29839
8,Snai2:background,22.827,69.470,44,109,1585.805,30775
9,Snai2:Cntl,5956.134,449.510,32,2684,2677343.988,51958004
10,Snai2:Expt,3304.297,444.166,34,2590,1467656.141,28482139
