 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,4.844,20.426,11,33,98.936,1920.000
2,Cad6B:background,8.811,20.047,9,32,176.641,3428.000
3,Cad6B:background,9.172,20.360,10,35,186.741,3624.000
4,Cad6B:Cntl,3114.516,71.311,10,8344,222100.760,4310209.000
5,Cad6B:Expt,2581.397,82.849,9,2350,213866.477,4150410.000
6,Snai2:background,4.844,19.106,8,29,92.546,1796.000
7,Snai2:background,8.811,18.988,10,31,167.315,3247.000
8,Snai2:background,9.172,19.073,10,31,174.941,3395.000
9,Snai2:Cntl,3114.516,658.825,15,3634,2051921.108,39820705.000
10,Snai2:Expt,2581.397,573.674,15,3924,1480878.946,28738748.000
