 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,54.466,17.476,6,35,951.844,18472.000
2,Cad6B:background,40.811,17.433,7,35,711.461,13807.000
3,Cad6B:background,32.515,17.399,6,36,565.737,10979.000
4,Cad6B:Cntl,6294.834,100.624,5,8542,633410.081,12292303.000
5,Cad6B:Expt,5886.621,93.226,7,4190,548788.900,10650098.000
6,Snai2:background,54.466,102.522,64,158,5583.992,108366.000
7,Snai2:background,40.811,103.289,58,152,4215.330,81805.000
8,Snai2:background,32.515,103.597,68,164,3368.451,65370.000
9,Snai2:Cntl,6294.834,464.582,52,2552,2924468.724,56753842.000
10,Snai2:Expt,5886.621,394.593,42,2126,2322817.357,45077866.000
