 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,14.480,17.459,9,32,252.801,4906
2,Cad6B:background,21.436,17.435,8,33,373.740,7253
3,Cad6B:background,19.323,17.669,9,29,341.431,6626
4,Cad6B:Cntl,3028.153,174.465,7,4449,528305.762,10252591
5,Cad6B:Expt,1867.359,201.857,8,3211,376939.376,7315092
6,Snai2:background,14.480,174.039,131,230,2520.026,48905
7,Snai2:background,21.436,173.966,127,250,3729.154,72370
8,Snai2:background,19.323,173.139,108,235,3345.623,64927
9,Snai2:Cntl,3028.153,821.204,95,3627,2486732.600,48258895
10,Snai2:Expt,1867.359,777.564,116,2652,1451991.376,28178140
