 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,10.254,17.849,9,29,183.031,3552.000
2,Cad6B:background,19.117,17.547,7,32,335.454,6510.000
3,Cad6B:background,15.253,17.524,8,32,267.281,5187.000
4,Cad6B:Cntl,3000.534,77.136,6,8064,231449.924,4491644.000
5,Cad6B:Expt,2416.916,81.235,6,3073,196338.681,3810256.000
6,Snai2:background,10.254,46.563,26,74,477.468,9266.000
7,Snai2:background,19.117,47.296,28,83,904.179,17547.000
8,Snai2:background,15.253,47.416,23,77,723.210,14035.000
9,Snai2:Cntl,3000.534,727.369,23,4455,2182495.594,42354705.000
10,Snai2:Expt,2416.916,306.024,26,2700,739633.972,14353742.000
