 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,26.177,17.667,8,35,462.473,8975.000
2,Cad6B:background,41.172,17.477,7,33,719.551,13964.000
3,Cad6B:background,25.352,17.510,8,35,443.922,8615.000
4,Cad6B:Cntl,4609.475,204.214,9,8272,941321.002,18267791.000
5,Cad6B:Expt,3249.522,202.726,7,8272,658763.741,12784330.000
6,Snai2:background,26.177,75.445,43,112,1974.900,38326.000
7,Snai2:background,41.172,76.657,39,135,3156.100,61249.000
8,Snai2:background,25.352,75.797,44,115,1921.619,37292.000
9,Snai2:Cntl,4609.475,512.140,40,3572,2360698.129,45813001.000
10,Snai2:Expt,3249.522,419.390,39,2687,1362817.092,26447575.000
