 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,26.177,17.262,8,32,451.858,8769
2,Cad6B:background,19.014,17.415,8,28,331.125,6426
3,Cad6B:background,23.343,17.051,7,32,398.010,7724
4,Cad6B:Cntl,3468.417,91.017,9,8558,315685.101,6126358
5,Cad6B:Expt,3057.576,122.482,7,8558,374496.746,7267689
6,Snai2:background,26.177,33.841,16,61,885.835,17191
7,Snai2:background,19.014,33.385,19,64,634.786,12319
8,Snai2:background,23.343,33.444,14,63,780.664,15150
9,Snai2:Cntl,3468.417,736.421,22,3285,2554215.082,49568497
10,Snai2:Expt,3057.576,611.419,20,2997,1869458.722,36279740
