 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,13.552,17.099,8,36,231.726,4497
2,Cad6B:background,12.315,17.222,9,29,212.093,4116
3,Cad6B:background,3.762,16.110,9,25,60.598,1176
4,Cad6B:Cntl,2688.474,88.351,9,3008,237528.542,4609609
5,Cad6B:Expt,2728.718,112.338,11,6235,306539.271,5948869
6,Snai2:background,13.552,22.487,11,44,304.743,5914
7,Snai2:background,12.315,21.933,12,39,270.115,5242
8,Snai2:background,3.762,22.836,13,41,85.899,1667
9,Snai2:Cntl,2688.474,816.880,12,3785,2196160.054,42619885
10,Snai2:Expt,2728.718,590.109,13,3077,1610240.748,31249214
