 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,10.667,20.377,9,39,217.349,4218.000
2,Cad6B:background,13.758,20.131,10,34,276.968,5375.000
3,Cad6B:background,24.734,20.077,10,40,496.585,9637.000
4,Cad6B:Cntl,3126.986,94.407,9,3131,295210.414,5729015.000
5,Cad6B:Expt,2377.393,95.220,8,1893,226376.275,4393182.000
6,Snai2:background,10.667,22.816,11,37,243.371,4723.000
7,Snai2:background,13.758,36.082,9,181,496.430,9634.000
8,Snai2:background,24.734,22.260,12,51,550.587,10685.000
9,Snai2:Cntl,3126.986,517.825,12,3417,1619232.662,31423716.000
10,Snai2:Expt,2377.393,415.863,16,2166,988669.867,19186669.000
