 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,13.243,17.082,8,30,226.212,4390
2,Cad6B:background,14.840,17.198,8,27,255.223,4953
3,Cad6B:background,6.853,16.233,9,27,111.251,2159
4,Cad6B:Cntl,2961.320,75.161,9,8151,222574.569,4319404
5,Cad6B:Expt,1845.357,106.677,8,1953,196856.651,3820308
6,Snai2:background,13.243,26.809,12,46,355.035,6890
7,Snai2:background,14.840,26.049,11,42,386.571,7502
8,Snai2:background,6.853,25.353,11,41,173.756,3372
9,Snai2:Cntl,2961.320,567.514,15,3248,1680591.025,32614470
10,Snai2:Expt,1845.357,381.102,13,1925,703269.750,13648038
