 ,Label,Area,Mean,Angle,IntDen,RawIntDen,Length
1,A:CntlArea:c:1/4 - SMPD3_gRNA1_Emb7_8ss_10x.czi #1,75413.722,4507.388,0.000,339918894.718,1649163067.000,0.000
2,A:ExptArea:c:1/4 - SMPD3_gRNA1_Emb7_8ss_10x.czi #1,49064.265,4818.911,0.000,236436307.094,1147103122.000,0.000
3,A:Cntl1:c:1/4 - SMPD3_gRNA1_Emb7_8ss_10x.czi #1,74.614,5069.988,-98.601,378292.049,1835335.682,163.922
4,A:Expt1:c:1/4 - SMPD3_gRNA1_Emb7_8ss_10x.czi #1,56.476,5007.088,-90.630,282779.215,1371942.087,123.949
5,A:Cntl2:c:1/4 - SMPD3_gRNA1_Emb7_8ss_10x.czi #1,79.973,4296.995,-90.444,343643.636,1667234.161,175.703
6,A:Expt2:c:1/4 - SMPD3_gRNA1_Emb7_8ss_10x.czi #1,62.041,4476.201,-91.146,277707.602,1347336.463,136.227
7,A:Cntl3:c:1/4 - SMPD3_gRNA1_Emb7_8ss_10x.czi #1,53.796,4654.081,-117.451,250372.240,1214715.207,118.180
8,A:Expt3:c:1/4 - SMPD3_gRNA1_Emb7_8ss_10x.czi #1,41.017,4551.047,-92.603,186670.688,905658.406,89.985
9,A:Cntl4:c:1/4 - SMPD3_gRNA1_Emb7_8ss_10x.czi #1,66.575,4597.033,-111.306,306049.604,1484841.567,146.192
10,A:Expt4:c:1/4 - SMPD3_gRNA1_Emb7_8ss_10x.czi #1,37.307,5047.640,-91.909,188312.291,913622.866,81.765
