 ,Label,Area,Mean,IntDen,RawIntDen
1,A:CntlArea:c:2/3 - 20181125_pCAGdnBMPR1AFLAG_NC11m3eGFP_Emb7_8ss_5x.czi,50227.996,1321.310,66366728.556,80496818.000
2,A:ExptArea:c:2/3 - 20181125_pCAGdnBMPR1AFLAG_NC11m3eGFP_Emb7_8ss_5x.czi,41313.891,1069.238,44174373.835,53579506.000
