Embryo,Cntl Area,Expt Area,Expt/Cntl Area,Cntl Length,Expt Length,Expt/Cntl Length,ID
Emb2,125416.433,62506.944,0.49839516644521376,219.17225,107.07375,0.4885369840388097,20180630_Emb2_Cece
Emb3,184505.15,74717.462,0.40496138996662157,323.50325,128.71675,0.3978839470700835,20180630_Emb3_Cece
Emb4,131356.284,83570.144,0.6362097149459556,222.02875,157.009,0.7071561678386244,20180630_Emb4_Cece
Emb5,120132.031,70750.76,0.5889416786768551,227.79749999999999,117.47449999999999,0.5156970554988531,20180630_Emb5_Cece
Emb7,68318.385,67745.589,0.9916157854141314,144.71775000000002,128.383,0.8871268382765762,20180630_Emb7_Cece
Emb8,110771.685,81480.953,0.7355756392077993,203.28875,163.7865,0.8056840331794061,20180630_Emb8_Cece
