,Embryo,ExptDate,Cntl CTCF,Expt CTCF,Expt/Cntl CTCF,Norm Cntl CTCF,Norm Expt CTCF,ID
0,Emb1,20181102,291403.4790915556,305767.17870799993,1.0492914486169584,1.0463345616983701,1.0979099079824732,20181102Emb1
1,Emb2,20181102,97694.1491697778,92811.34890022222,0.9500195220384181,0.3507877293391479,0.3332551909637193,20181102Emb2
2,Emb4,20181102,448224.70280977775,432809.02322188887,0.9656072512486418,1.6094282725069968,1.5540756102973312,20181102Emb4
3,Emb5,20181102,211012.65222355552,220815.56287322225,1.0464565065002887,0.7576774020181654,0.7928764471701439,20181102Emb5
4,Emb6,20181102,344161.6891776667,380731.2871427778,1.1062570271911725,1.2357720344373198,1.3670814971026164,20181102Emb6
