 ,Label,Area,Mean,IntDen,RawIntDen
1,Background2a:background,17.108,16.157,276.402,5364
2,Background2b:background,28.959,15.658,453.455,8800
3,Background2c:background,35.452,15.401,546.001,10596
4,CntlSide2:Cntl,2348.125,67.999,159669.639,3098636
5,ExptSide2:Expt,2386.978,75.219,179545.202,3484352
