 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,38.647,14.717,568.777,11038.000
2,H2BRFP:background,24.425,14.688,358.745,6962.000
3,H2BRFP:background,35.400,14.843,525.441,10197.000
4,H2BRFP:Cntl,2631.844,109.000,286871.424,5567184.000
5,H2BRFP:Expt,3281.161,89.879,294908.145,5723149.000
6,TCFLefd2eGFP:background,38.647,10.107,390.590,7580.000
7,TCFLefd2eGFP:background,24.425,10.139,247.648,4806.000
8,TCFLefd2eGFP:background,35.400,10.271,363.589,7056.000
9,TCFLefd2eGFP:Cntl,2631.844,61.405,161607.517,3136244.000
10,TCFLefd2eGFP:Expt,3281.161,37.340,122519.267,2377676.000
