 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,12.985,8.603,111.715,2168
2,H2BRFP:background,12.676,10.024,127.071,2466
3,H2BRFP:background,10.821,9.000,97.390,1890
4,H2BRFP:Cntl,1289.101,1341.465,1729284.384,33559440
5,H2BRFP:Expt,1101.742,1220.205,1344350.490,26089202
6,TCFLefd2eGFP:background,12.985,9.048,117.486,2280
7,TCFLefd2eGFP:background,12.676,8.874,112.488,2183
8,TCFLefd2eGFP:background,10.821,9.500,102.800,1995
9,TCFLefd2eGFP:Cntl,1289.101,322.806,416130.117,8075649
10,TCFLefd2eGFP:Expt,1101.742,310.155,341711.111,6631433
