 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,19.169,13.433,257.490,4997
2,H2BRFP:background,20.096,13.185,264.962,5142
3,H2BRFP:background,34.318,12.611,432.792,8399
4,H2BRFP:Cntl,1289.616,174.329,224817.471,4362931
5,H2BRFP:Expt,999.405,70.680,70637.602,1370832
6,TCFLefd2eGFP:background,19.169,10.527,201.788,3916
7,TCFLefd2eGFP:background,20.096,9.956,200.087,3883
8,TCFLefd2eGFP:background,34.318,10.656,365.701,7097
9,TCFLefd2eGFP:Cntl,1289.616,61.513,79328.277,1539488
10,TCFLefd2eGFP:Expt,999.405,33.138,33118.049,642707
