 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,17.314,9.923,171.798,3334.000
2,H2BRFP:background,38.801,10.337,401.102,7784.000
3,H2BRFP:background,57.352,9.987,572.796,11116.000
4,H2BRFP:Cntl,854.557,655.830,560444.399,10876291.000
5,H2BRFP:Expt,604.074,368.549,222631.302,4320505.000
6,TCFLefd2eGFP:background,17.314,9.524,164.893,3200.000
7,TCFLefd2eGFP:background,38.801,9.541,370.184,7184.000
8,TCFLefd2eGFP:background,57.352,9.137,524.050,10170.000
9,TCFLefd2eGFP:Cntl,854.557,198.684,169786.509,3294970.000
10,TCFLefd2eGFP:Expt,604.074,76.646,46300.043,898524.000
