 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,30.763,14.546,447.478,8684.000
2,H2BRFP:background,13.294,14.194,188.699,3662.000
3,H2BRFP:background,32.463,13.981,453.867,8808.000
4,H2BRFP:Cntl,2472.310,114.931,284144.664,5514267.000
5,H2BRFP:Expt,2136.908,83.743,178951.302,3472827.000
6,TCFLefd2eGFP:background,30.763,9.935,305.618,5931.000
7,TCFLefd2eGFP:background,13.294,10.050,133.615,2593.000
8,TCFLefd2eGFP:background,32.463,10.025,325.457,6316.000
9,TCFLefd2eGFP:Cntl,2472.310,34.983,86488.232,1678438.000
10,TCFLefd2eGFP:Expt,2136.908,28.631,61180.897,1187310.000
