 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,40.193,10.571,424.857,8245.000
2,H2BRFP:background,28.444,10.572,300.723,5836.000
3,H2BRFP:background,55.497,10.196,565.840,10981.000
4,H2BRFP:Cntl,1566.739,121.905,190993.836,3706531.000
5,H2BRFP:Expt,1625.946,129.870,211161.050,4097907.000
6,TCFLefd2eGFP:background,40.193,10.347,415.891,8071.000
7,TCFLefd2eGFP:background,28.444,10.346,294.282,5711.000
8,TCFLefd2eGFP:background,55.497,10.316,572.487,11110.000
9,TCFLefd2eGFP:Cntl,1566.739,52.683,82540.492,1601826.000
10,TCFLefd2eGFP:Expt,1625.946,74.061,120419.872,2336934.000
