 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,42.048,13.920,585.318,11359.000
2,H2BRFP:background,8.811,15.632,137.737,2673.000
3,H2BRFP:background,30.763,14.397,442.892,8595.000
4,H2BRFP:Cntl,1915.797,99.009,189681.083,3681055.000
5,H2BRFP:Expt,2075.743,143.014,296860.527,5761038.000
6,TCFLefd2eGFP:background,42.048,10.406,437.533,8491.000
7,TCFLefd2eGFP:background,8.811,10.901,96.050,1864.000
8,TCFLefd2eGFP:background,30.763,10.030,308.556,5988.000
9,TCFLefd2eGFP:Cntl,1915.797,52.034,99685.736,1934556.000
10,TCFLefd2eGFP:Expt,2075.743,36.182,75103.672,1457503.000
