 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,25.558,8.925,228.119,4427.000
2,H2BRFP:background,79.664,8.552,681.265,13221.000
3,H2BRFP:background,32.979,9.044,298.250,5788.000
4,H2BRFP:Cntl,667.661,700.734,467852.969,9079411.000
5,H2BRFP:Expt,924.327,500.628,462743.818,8980260.000
6,TCFLefd2eGFP:background,25.558,11.319,289.284,5614.000
7,TCFLefd2eGFP:background,79.664,11.918,949.473,18426.000
8,TCFLefd2eGFP:background,32.979,11.800,389.147,7552.000
9,TCFLefd2eGFP:Cntl,667.661,222.617,148632.927,2884452.000
10,TCFLefd2eGFP:Expt,924.327,197.531,182583.427,3543314.000
