 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,42.048,8.895,373.997,7258.000
2,H2BRFP:background,38.801,7.963,308.968,5996.000
3,H2BRFP:background,6.029,9.026,54.415,1056.000
4,H2BRFP:Cntl,1320.843,96.030,126840.489,2461536.000
5,H2BRFP:Expt,963.232,177.452,170927.464,3317112.000
6,TCFLefd2eGFP:background,42.048,9.478,398.525,7734.000
7,TCFLefd2eGFP:background,38.801,8.664,336.175,6524.000
8,TCFLefd2eGFP:background,6.029,9.060,54.621,1060.000
9,TCFLefd2eGFP:Cntl,1320.843,68.584,90588.188,1758004.000
10,TCFLefd2eGFP:Expt,963.232,63.909,61559.481,1194657.000
