 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,371.009,8.291,3076.075,3731.000
2,H2BRFP:background,695.023,8.843,6146.379,7455.000
3,H2BRFP:background,1038.825,8.603,8937.190,10840.000
4,H2BRFP:Cntl,26572.475,820.244,21795924.398,26436478.000
5,H2BRFP:Expt,20911.705,867.147,18133519.273,21994313.000
6,TCFLefd2eGFP:background,371.009,12.364,4587.318,5564.000
7,TCFLefd2eGFP:background,695.023,11.556,8031.928,9742.000
8,TCFLefd2eGFP:background,1038.825,11.552,12000.898,14556.000
9,TCFLefd2eGFP:Cntl,26572.475,217.472,5778759.692,7009111.000
10,TCFLefd2eGFP:Expt,20911.705,246.892,5162937.849,6262175.000
