 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,10.667,7.763,82.807,1607.000
2,H2BRFP:background,27.826,7.096,197.459,3832.000
3,H2BRFP:background,8.811,8.117,71.522,1388.000
4,H2BRFP:Cntl,2620.198,221.538,580474.752,11265011.000
5,H2BRFP:Expt,2124.644,271.708,577282.015,11203051.000
6,TCFLefd2eGFP:background,10.667,9.353,99.760,1936.000
7,TCFLefd2eGFP:background,27.826,8.626,240.022,4658.000
8,TCFLefd2eGFP:background,8.811,8.731,76.933,1493.000
9,TCFLefd2eGFP:Cntl,2620.198,135.064,353893.752,6867856.000
10,TCFLefd2eGFP:Expt,2124.644,122.472,260209.289,5049764.000
