 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,16.695,9.269,154.742,3003
2,H2BRFP:background,20.869,9.575,199.829,3878
3,H2BRFP:background,7.729,8.720,67.400,1308
4,H2BRFP:Cntl,1572.717,201.621,317092.358,6153668
5,H2BRFP:Expt,2661.885,234.376,623881.854,12107393
6,TCFLefd2eGFP:background,16.695,8.373,139.798,2713
7,TCFLefd2eGFP:background,20.869,8.696,181.485,3522
8,TCFLefd2eGFP:background,7.729,8.973,69.358,1346
9,TCFLefd2eGFP:Cntl,1572.717,89.427,140642.583,2729387
10,TCFLefd2eGFP:Expt,2661.885,87.794,233697.773,4535267
