 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,17.159,19.192,329.322,6391
2,H2BRFP:background,22.261,20.308,452.064,8773
3,H2BRFP:background,13.604,20.852,283.667,5505
4,H2BRFP:Cntl,3772.284,170.125,641761.386,12454373
5,H2BRFP:Expt,2082.287,76.840,160002.749,3105101
6,TCFLefd2eGFP:background,17.159,9.378,160.925,3123
7,TCFLefd2eGFP:background,22.261,9.824,218.689,4244
8,TCFLefd2eGFP:background,13.604,9.761,132.790,2577
9,TCFLefd2eGFP:Cntl,3772.284,58.075,219073.740,4251465
10,TCFLefd2eGFP:Expt,2082.287,19.211,40003.612,776332
