 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,380.902,8.184,3117.298,3781.000
2,H2BRFP:background,190.451,8.117,1545.870,1875.000
3,H2BRFP:background,709.864,8.080,5735.796,6957.000
4,H2BRFP:Cntl,30338.626,329.742,10003919.209,12133846.000
5,H2BRFP:Expt,21525.106,266.418,5734680.548,6955647.000
6,TCFLefd2eGFP:background,380.902,9.303,3543.546,4298.000
7,TCFLefd2eGFP:background,190.451,8.429,1605.231,1947.000
8,TCFLefd2eGFP:background,709.864,8.934,6341.777,7692.000
9,TCFLefd2eGFP:Cntl,30338.626,97.324,2952672.710,3581324.000
10,TCFLefd2eGFP:Expt,21525.106,78.326,1685968.694,2044927.000
