 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,29.835,14.660,437.378,8488.000
2,H2BRFP:background,26.898,16.431,441.964,8577.000
3,H2BRFP:background,32.309,14.423,465.977,9043.000
4,H2BRFP:Cntl,2496.374,146.996,366955.941,7121348.000
5,H2BRFP:Expt,1844.171,200.365,369508.172,7170878.000
6,TCFLefd2eGFP:background,29.835,10.748,320.665,6223.000
7,TCFLefd2eGFP:background,26.898,10.906,293.355,5693.000
8,TCFLefd2eGFP:background,32.309,10.528,340.143,6601.000
9,TCFLefd2eGFP:Cntl,2496.374,84.426,210759.897,4090122.000
10,TCFLefd2eGFP:Expt,1844.171,54.215,99982.028,1940306.000
