 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,385.849,8.528,3290.436,3991.000
2,H2BRFP:background,697.497,8.918,6220.581,7545.000
3,H2BRFP:background,279.493,8.861,2476.690,3004.000
4,H2BRFP:Cntl,17951.879,690.401,12394003.244,15032801.000
5,H2BRFP:Expt,11738.718,852.904,10011994.833,12143641.000
6,TCFLefd2eGFP:background,385.849,11.566,4462.824,5413.000
7,TCFLefd2eGFP:background,697.497,11.512,8029.455,9739.000
8,TCFLefd2eGFP:background,279.493,11.496,3212.936,3897.000
9,TCFLefd2eGFP:Cntl,17951.879,97.117,1743433.010,2114626.000
10,TCFLefd2eGFP:Expt,11738.718,130.044,1526549.511,1851566.000
