 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,24.425,8.194,200.139,3884
2,H2BRFP:background,50.859,8.370,425.681,8261
3,H2BRFP:background,28.135,8.288,233.169,4525
4,H2BRFP:Cntl,1714.576,1006.489,1725701.675,33489912
5,H2BRFP:Expt,1421.427,923.888,1313240.165,25485458
6,TCFLefd2eGFP:background,24.425,9.546,233.169,4525
7,TCFLefd2eGFP:background,50.859,8.834,449.281,8719
8,TCFLefd2eGFP:background,28.135,9.234,259.809,5042
9,TCFLefd2eGFP:Cntl,1714.576,258.640,443457.183,8605973
10,TCFLefd2eGFP:Expt,1421.427,210.866,299731.414,5816752
