 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,531.779,7.983,4245.165,5149.000
2,H2BRFP:background,521.886,8.434,4401.813,5339.000
3,H2BRFP:background,526.832,7.610,4009.368,4863.000
4,H2BRFP:Cntl,32671.859,289.761,9467038.970,11482659.000
5,H2BRFP:Expt,32411.329,168.403,5458175.934,6620272.000
6,TCFLefd2eGFP:background,531.779,8.964,4767.051,5782.000
7,TCFLefd2eGFP:background,521.886,9.088,4743.141,5753.000
8,TCFLefd2eGFP:background,526.832,9.258,4877.529,5916.000
9,TCFLefd2eGFP:Cntl,32671.859,133.393,4358183.486,5286081.000
10,TCFLefd2eGFP:Expt,32411.329,84.192,2728789.511,3309774.000
