 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,24.425,19.441,474.840,9215.000
2,H2BRFP:background,23.961,19.551,468.450,9091.000
3,H2BRFP:background,31.381,19.777,620.615,12044.000
4,H2BRFP:Cntl,4260.212,151.306,644595.121,12509366.000
5,H2BRFP:Expt,4308.185,59.349,255684.991,4961963.000
6,TCFLefd2eGFP:background,24.425,10.133,247.494,4803.000
7,TCFLefd2eGFP:background,23.961,10.004,239.713,4652.000
8,TCFLefd2eGFP:background,31.381,9.895,310.514,6026.000
9,TCFLefd2eGFP:Cntl,4260.212,41.031,174802.084,3392305.000
10,TCFLefd2eGFP:Expt,4308.185,16.143,69546.476,1349657.000
