 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,15.613,10.079,157.370,3054.000
2,H2BRFP:background,24.579,9.618,236.415,4588.000
3,H2BRFP:background,14.067,9.842,138.458,2687.000
4,H2BRFP:Cntl,2112.586,98.429,207939.199,4035382.000
5,H2BRFP:Expt,1549.374,69.976,108419.438,2104047.000
6,TCFLefd2eGFP:background,15.613,9.188,143.457,2784.000
7,TCFLefd2eGFP:background,24.579,9.901,243.371,4723.000
8,TCFLefd2eGFP:background,14.067,9.440,132.790,2577.000
9,TCFLefd2eGFP:Cntl,2112.586,36.720,77573.921,1505442.000
10,TCFLefd2eGFP:Expt,1549.374,27.653,42844.715,831468.000
