 ,Label,Area,Mean,IntDen,RawIntDen
1,A:CntlArea:c:4/5 - 20181102_SMPD3gRNA1RNP_Sox9Cad6b_Emb1_7ss_10x.czi #1,35137.007,4728.265,166137062.106,201509177
2,A:ExptArea:c:4/5 - 20181102_SMPD3gRNA1RNP_Sox9Cad6b_Emb1_7ss_10x.czi #1,32187.899,4284.685,137915001.464,167278379
