 ,Label,Area,Mean,IntDen,RawIntDen
1,A:CntlArea:c:1/4 - SMPD3_gRNA1_Emb7_8ss_10x.czi #1,53975.605,4745.423,256137092.004,1242683984.000
2,A:ExptArea:c:1/4 - SMPD3_gRNA1_Emb7_8ss_10x.czi #1,34435.805,5145.395,177185831.159,859641190.000
