 ,Label,Area,Mean,IntDen,RawIntDen
1,A:CntlArea:c:4/4 - Emb9_9ss_b.czi #1,83373.317,4238.171,353350376.754,1714327474
2,A:ExptArea:c:4/4 - Emb9_9ss_b.czi #1,77197.874,4842.990,373868509.852,1813873991
