 ,Label,Area,Mean,IntDen,RawIntDen
1,A:CntlArea:c:1/3 - SMPD3MO_0;8mM_Emb8_7ss_10x.czi #1,74199.298,3337.359,247629699.152,1201409209.000
2,A:ExptArea:c:1/3 - SMPD3MO_0;8mM_Emb8_7ss_10x.czi #1,44131.504,4266.051,188267239.151,913404150.000
