 ,Label,Area,Mean,IntDen,RawIntDen
1,A:CntlArea:c:1/5 - 20181102_SMPD3gRNA1RNP_Pax7Laminin_Emb3_7ss_10x.czi ,56474.135,6758.533,381682305.997,462945994
2,A:ExptArea:c:1/5 - 20181102_SMPD3gRNA1RNP_Pax7Laminin_Emb3_7ss_10x.czi ,44153.345,7305.648,322568812.673,391246692
