 ,Label,Area,Mean,IntDen,RawIntDen
1,A:CntlArea:c:1/3 - 20180702_SMPD3MO0;8mM_Pax7TCFLefRFP_Emb3_9ss_10x.czi,97942.613,1630.775,159722366.330,774914933
2,A:ExptArea:c:1/3 - 20180702_SMPD3MO0;8mM_Pax7TCFLefRFP_Emb3_9ss_10x.czi,72303.432,1717.446,124177269.479,602463028
