 ,Label,Area,Mean,IntDen,RawIntDen
1,A:CntlArea:c:1/2 - 20180630_SMPD3MO0;8mM_Pax7_Emb8_8ss_10x.czi #1,76233.033,3523.636,268617434.589,1303234269.000
2,A:ExptArea:c:1/2 - 20180630_SMPD3MO0;8mM_Pax7_Emb8_8ss_10x.czi #1,54937.746,3271.220,179713461.945,871904471.000
