 ,Label,Area,Mean,IntDen,RawIntDen
1,A:CntlArea:c:1/3 - SMPD3MO_0;8mM_Emb12_8ss_10x.czi #1,116506.057,2890.580,336770066.540,1633885841
2,A:ExptArea:c:1/3 - SMPD3MO_0;8mM_Emb12_8ss_10x.czi #1,53329.019,3648.671,194580024.535,944031488
