 ,Label,Area,Mean,IntDen,RawIntDen
1,Background1a:background,28.959,9.125,264.241,5128
2,Background1b:background,29.732,9.147,271.970,5278
3,Background1c:background,12.522,9.173,114.858,2229
4,CntlSide1:Cntl,2978.789,147.774,440187.530,8542519
5,ExptSide1:Expt,2482.461,208.200,516848.524,10030244
