 ,Label,Area,Mean,Angle,IntDen,RawIntDen,Length
1,A:CntlArea:c:1/2 - SMPD3_MO_Emb3_10x_9ss.czi #1,184505.150,2139.922,0.000,394826675.363,1915555684.000,0.000
2,A:ExptArea:c:1/2 - SMPD3_MO_Emb3_10x_9ss.czi #1,74717.462,3146.767,0.000,235118445.705,1140709337.000,0.000
3,A:Cntl:c:1/2 - SMPD3_MO_Emb3_10x_9ss.czi #1,174.580,1698.975,89.797,296607.514,1439031.974,384.086
4,A:Expt:c:1/2 - SMPD3_MO_Emb3_10x_9ss.czi #1,52.147,3669.559,90.682,191357.781,928398.477,114.416
5,A:Cntl:c:1/2 - SMPD3_MO_Emb3_10x_9ss.czi #1,109.035,2561.432,88.373,279286.624,1354997.303,239.809
6,A:Expt:c:1/2 - SMPD3_MO_Emb3_10x_9ss.czi #1,72.553,2245.754,89.021,162935.827,790505.477,159.377
7,A:Cntl:c:1/2 - SMPD3_MO_Emb3_10x_9ss.czi #1,154.793,2068.185,89.771,320140.728,1553206.581,340.503
8,A:Expt:c:1/2 - SMPD3_MO_Emb3_10x_9ss.czi #1,50.292,3066.721,90.000,154232.480,748280.000,110.322
9,A:Cntl:c:1/2 - SMPD3_MO_Emb3_10x_9ss.czi #1,149.846,1993.165,90.474,298668.434,1449030.809,329.615
10,A:Expt:c:1/2 - SMPD3_MO_Emb3_10x_9ss.czi #1,59.568,3675.121,90.000,218917.865,1062110.000,130.752
