 ,Label,Area,Mean,Angle,IntDen,RawIntDen,Length
1,A:CntlArea:c:1/2 - SMPD3_MO_Emb8_10x_8ss.czi #1,110771.685,3330.021,0.000,368872023.460,1789633136.000,0.000
2,A:ExptArea:c:1/2 - SMPD3_MO_Emb8_10x_8ss.czi #1,81480.953,3059.939,0.000,249326705.478,1209642655.000,0.000
3,A:Cntl:c:1/2 - SMPD3_MO_Emb8_10x_8ss.czi #1,87.393,3600.274,90.406,314639.451,1526516.386,192.047
4,A:Expt:c:1/2 - SMPD3_MO_Emb8_10x_8ss.czi #1,70.698,2833.970,91.005,200355.444,972051.875,155.292
5,A:Cntl:c:1/2 - SMPD3_MO_Emb8_10x_8ss.czi #1,104.089,3796.052,91.023,395125.649,1917006.195,228.852
6,A:Expt:c:1/2 - SMPD3_MO_Emb8_10x_8ss.czi #1,78.736,2817.906,90.000,221871.507,1076440.000,172.974
7,A:Cntl:c:1/2 - SMPD3_MO_Emb8_10x_8ss.czi #1,88.012,3830.752,90.000,337150.331,1635731.000,193.404
8,A:Expt:c:1/2 - SMPD3_MO_Emb8_10x_8ss.czi #1,83.065,3355.695,90.000,278739.942,1352345.000,182.508
9,A:Cntl:c:1/2 - SMPD3_MO_Emb8_10x_8ss.czi #1,90.485,3220.645,90.000,291419.786,1413863.000,198.852
10,A:Expt:c:1/2 - SMPD3_MO_Emb8_10x_8ss.czi #1,65.751,2932.552,90.000,192818.220,935484.000,144.372
