 ,Label,Area,Mean,Angle,IntDen,RawIntDen,Length
1,A:CntlArea:c:1/2 - SMPD3_MO_Emb4_10x_8ss.czi #1,131356.284,2151.087,0.000,282558768.989,1370872562.000,0.000
2,A:ExptArea:c:1/2 - SMPD3_MO_Emb4_10x_8ss.czi #1,83570.144,2701.794,0.000,225789296.484,1095447692.000,0.000
3,A:Cntl:c:1/2 - SMPD3_MO_Emb4_10x_8ss.czi #1,126.349,2069.289,-88.877,261452.835,1268474.235,277.901
4,A:Expt:c:1/2 - SMPD3_MO_Emb4_10x_8ss.czi #1,88.012,2589.332,-88.790,227891.083,1105644.795,193.447
5,A:Cntl:c:1/2 - SMPD3_MO_Emb4_10x_8ss.czi #1,90.485,2320.758,-89.215,209993.593,1018812.671,198.871
6,A:Expt:c:1/2 - SMPD3_MO_Emb4_10x_8ss.czi #1,71.316,2851.156,-89.004,203333.416,986499.913,156.654
7,A:Cntl:c:1/2 - SMPD3_MO_Emb4_10x_8ss.czi #1,99.760,2166.351,-90.000,216115.512,1048514.000,219.282
8,A:Expt:c:1/2 - SMPD3_MO_Emb4_10x_8ss.czi #1,62.041,2861.055,-88.282,177502.503,861177.700,136.261
9,A:Cntl:c:1/2 - SMPD3_MO_Emb4_10x_8ss.czi #1,87.393,1832.784,-89.187,160172.805,777100.297,192.061
10,A:Expt:c:1/2 - SMPD3_MO_Emb4_10x_8ss.czi #1,64.514,2443.918,-88.898,157667.661,764946.248,141.674
