 ,Label,Area,Mean,Angle,IntDen,RawIntDen,Length
1,A:CntlArea:c:1/2 - SMPD3_MO_Emb2_10x_7ss.czi #1,125416.433,2665.521,0.000,334300101.860,1621902724.000,0.000
2,A:ExptArea:c:1/2 - SMPD3_MO_Emb2_10x_7ss.czi #1,62506.944,2958.954,0.000,184955149.916,897335238.000,0.000
3,A:Cntl:c:1/2 - SMPD3_MO_Emb2_10x_7ss.czi #1,116.662,2647.210,-97.012,308827.897,1498320.836,256.613
4,A:Expt:c:1/2 - SMPD3_MO_Emb2_10x_7ss.czi #1,52.147,2893.324,-92.045,150879.157,732010.893,114.481
5,A:Cntl:c:1/2 - SMPD3_MO_Emb2_10x_7ss.czi #1,92.340,2822.931,-90.000,260669.340,1264673.000,202.938
6,A:Expt:c:1/2 - SMPD3_MO_Emb2_10x_7ss.czi #1,65.751,3201.557,-90.541,210505.569,1021296.593,144.378
7,A:Cntl:c:1/2 - SMPD3_MO_Emb2_10x_7ss.czi #1,100.378,2365.584,-99.230,237453.732,1152039.299,220.778
8,A:Expt:c:1/2 - SMPD3_MO_Emb2_10x_7ss.czi #1,45.552,2321.642,-94.699,105754.595,513082.898,99.761
9,A:Cntl:c:1/2 - SMPD3_MO_Emb2_10x_7ss.czi #1,89.454,2457.162,-87.217,219803.801,1066408.243,196.360
10,A:Expt:c:1/2 - SMPD3_MO_Emb2_10x_7ss.czi #1,31.742,3616.501,-85.515,114794.487,556941.176,69.675
