 ,Label,Area,Mean,Angle,IntDen,RawIntDen,Length
1,A:CntlArea:c:1/2 - SMPD3_MO_Emb7_10x_7ss.czi #1,68318.385,2828.758,0.000,193256191.704,937608879.000,0.000
2,A:ExptArea:c:1/2 - SMPD3_MO_Emb7_10x_7ss.czi #1,67745.589,2944.062,0.000,199447223.176,967645516.000,0.000
3,A:Cntl:c:1/2 - SMPD3_MO_Emb7_10x_7ss.czi #1,75.026,2361.940,90.000,177207.407,859746.000,164.802
4,A:Expt:c:1/2 - SMPD3_MO_Emb7_10x_7ss.czi #1,77.500,2476.080,90.000,191895.233,931006.000,170.250
5,A:Cntl:c:1/2 - SMPD3_MO_Emb7_10x_7ss.czi #1,68.224,2954.421,89.479,201563.621,977913.509,149.826
6,A:Expt:c:1/2 - SMPD3_MO_Emb7_10x_7ss.czi #1,78.736,2447.343,90.000,192694.757,934885.000,172.974
7,A:Cntl:c:1/2 - SMPD3_MO_Emb7_10x_7ss.czi #1,77.500,2122.957,89.542,164528.342,798231.782,170.255
8,A:Expt:c:1/2 - SMPD3_MO_Emb7_10x_7ss.czi #1,42.254,3346.151,89.157,141387.508,685960.855,92.626
9,A:Cntl:c:1/2 - SMPD3_MO_Emb7_10x_7ss.czi #1,42.872,2850.236,89.170,122195.683,592849.088,93.988
10,A:Expt:c:1/2 - SMPD3_MO_Emb7_10x_7ss.czi #1,35.452,3629.887,87.990,128686.572,624340.525,77.682
