 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,63.999,15.729,1006.619,19535.000
2,H2BRFP:background,22.879,15.815,361.837,7022.000
3,H2BRFP:background,34.627,15.564,538.942,10459.000
4,H2BRFP:Cntl,4020.808,82.566,331982.745,6442639.000
5,H2BRFP:Expt,4052.601,70.648,286307.079,5556232.000
6,TCFLefd2eGFP:background,63.999,9.703,620.976,12051.000
7,TCFLefd2eGFP:background,22.879,9.466,216.576,4203.000
8,TCFLefd2eGFP:background,34.627,9.519,329.631,6397.000
9,TCFLefd2eGFP:Cntl,4020.808,53.080,213426.213,4141866.000
10,TCFLefd2eGFP:Expt,4052.601,42.601,172645.132,3350446.000
