 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,77.912,17.122,1333.983,25888.000
2,H2BRFP:background,32.618,17.573,573.209,11124.000
3,H2BRFP:background,43.594,18.030,785.972,15253.000
4,H2BRFP:Cntl,4757.827,110.548,525968.200,10207227.000
5,H2BRFP:Expt,3896.571,91.143,355147.143,6892180.000
6,TCFLefd2eGFP:background,77.912,9.462,737.225,14307.000
7,TCFLefd2eGFP:background,32.618,9.700,316.388,6140.000
8,TCFLefd2eGFP:background,43.594,9.717,423.620,8221.000
9,TCFLefd2eGFP:Cntl,4757.827,61.786,293966.298,5704871.000
10,TCFLefd2eGFP:Expt,3896.571,35.525,138425.651,2686364.000
