 ,Label,Area,Mean,IntDen,RawIntDen
1,H2BRFP:background,40.347,12.070,487.001,9451.000
2,H2BRFP:background,30.917,12.912,399.195,7747.000
3,H2BRFP:background,75.129,12.558,943.496,18310.000
4,H2BRFP:Cntl,3870.704,51.193,198154.151,3845488.000
5,H2BRFP:Expt,3030.730,42.242,128023.337,2484491.000
6,TCFLefd2eGFP:background,40.347,9.794,395.176,7669.000
7,TCFLefd2eGFP:background,30.917,9.680,299.280,5808.000
8,TCFLefd2eGFP:background,75.129,10.072,756.703,14685.000
9,TCFLefd2eGFP:Cntl,3870.704,45.967,177926.081,3452931.000
10,TCFLefd2eGFP:Expt,3030.730,36.181,109653.506,2127996.000
