 ,Label,Area,Mean,IntDen,RawIntDen
1,A:CntlArea:c:1/3 - SMPD3MO_0;8mM_Emb6_8ss_10x.czi #1,72508.322,3522.109,255382188.944,1239021469
2,A:ExptArea:c:1/3 - SMPD3MO_0;8mM_Emb6_8ss_10x.czi #1,52025.129,3535.742,183947439.150,892446052
