 ,Label,Area,Mean,IntDen,RawIntDen
1,A:CntlArea:c:1/2 - 20180630_SMPD3MO0;8mM_Pax7_Emb2_7ss_10x.czi #1,89317.483,2730.582,243888742.928,1183259635
2,A:ExptArea:c:1/2 - 20180630_SMPD3MO0;8mM_Pax7_Emb2_7ss_10x.czi #1,44110.473,3283.931,144855730.624,702787414
