 ,Label,Area,Mean,IntDen,RawIntDen
1,A:CntlArea:c:1/5 - 20181102_SMPD3gRNA1RNP_Pax7Laminin_Emb2_8ss_10x.czi ,54788.931,5278.685,289213503.130,350789729
2,A:ExptArea:c:1/5 - 20181102_SMPD3gRNA1RNP_Pax7Laminin_Emb2_8ss_10x.czi ,46606.950,5370.665,250310335.757,303603718
