,Embryo,ExptDate,Cntl CTCF,Expt CTCF,Expt/Cntl CTCF,Norm Cntl CTCF,Norm Expt CTCF
0,Emb2,20190714,19792927.819148332,7424585.594575,0.375113053632834,1.1105089965824906,0.4165664207947924
1,Emb3,20190714,15914143.417014666,10034888.952036,0.6305641899209706,0.892884549419796,0.5630210225978446
2,Emb5,20190714,18284093.31536,11639266.81695,0.6365788347389449,1.0258537951832303,0.653036813550265
3,Emb6,20190714,14841604.572018335,6383290.796133333,0.43009438535831157,0.8327083062972225,0.35814316717966455
4,Emb7,20190714,18478848.36804,12544869.881943999,0.6788772564225872,1.0367807909317726,0.7038468988594018
5,Emb8,20190714,19628143.71733967,5470239.972289334,0.27869369875547007,1.1012635615854887,0.30691521528288224
