 ,Label,Area,Mean,Angle,IntDen,RawIntDen,Length
1,A:CntlArea:c:4/4 - Emb5_9ss_b.czi #1,127544.787,3976.165,0.000,507139120.107,2460454890.000,0.000
2,A:ExptArea:c:4/4 - Emb5_9ss_b.czi #1,133634.278,3281.197,0.000,438480401.831,2127347716.000,0.000
3,A:Cntl1:c:4/4 - Emb5_9ss_b.czi #1,96.462,3706.809,77.391,357567.231,1734786.388,212.140
4,A:Expt1:c:4/4 - Emb5_9ss_b.czi #1,92.958,3071.610,78.465,285531.709,1385296.185,204.341
5,A:Cntl2:c:4/4 - Emb5_9ss_b.czi #1,103.264,3982.274,76.464,411225.955,1995119.037,226.948
6,A:Expt2:c:4/4 - Emb5_9ss_b.czi #1,106.150,3052.360,77.181,324007.177,1571965.192,233.268
7,A:Cntl3:c:4/4 - Emb5_9ss_b.czi #1,93.164,4009.247,78.092,373519.180,1812179.453,204.618
8,A:Expt3:c:4/4 - Emb5_9ss_b.czi #1,102.646,2951.900,79.571,303000.039,1470046.184,225.735
9,A:Cntl4:c:4/4 - Emb5_9ss_b.czi #1,54.621,4151.136,92.603,226738.111,1100050.996,119.980
10,A:Expt4:c:4/4 - Emb5_9ss_b.czi #1,33.597,5306.333,93.180,178276.392,864932.330,73.661
