 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,14.170,16.825,9,32,238.425,4627
2,Cad6B:background,16.386,17.308,8,32,283.616,5504
3,Cad6B:background,7.266,17.284,9,34,125.576,2437
4,Cad6B:Cntl,2805.703,55.684,8,2024,156233.042,3031944
5,Cad6B:Expt,3021.506,66.802,8,7815,201841.824,3917053
6,Snai2:background,14.170,172.007,128,258,2437.425,47302
7,Snai2:background,16.386,172.217,119,238,2821.986,54765
8,Snai2:background,7.266,171.560,113,243,1246.487,24190
9,Snai2:Cntl,2805.703,837.705,115,3270,2350351.260,45612204
10,Snai2:Expt,3021.506,671.269,110,2454,2028244.202,39361218
