 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,15.510,17.379,8,28,269.548,5231.000
2,Cad6B:background,14.789,16.679,7,32,246.669,4787.000
3,Cad6B:background,19.839,17.236,8,36,341.946,6636.000
4,Cad6B:Cntl,2569.236,100.281,8,8589,257646.288,5000025.000
5,Cad6B:Expt,2421.451,93.295,8,4288,225909.474,4384123.000
6,Snai2:background,15.510,114.013,69,171,1768.372,34318.000
7,Snai2:background,14.789,110.415,69,163,1632.902,31689.000
8,Snai2:background,19.839,114.281,70,179,2267.173,43998.000
9,Snai2:Cntl,2569.236,758.862,58,3487,1949694.734,37836844.000
10,Snai2:Expt,2421.451,615.112,44,2420,1489463.986,28905354.000
