 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,39.523,17.489,7,34,691.210,13414.000
2,Cad6B:background,23.703,17.454,8,31,413.726,8029.000
3,Cad6B:background,9.069,17.574,8,30,159.379,3093.000
4,Cad6B:Cntl,3508.403,65.482,8,1806,229738.594,4458433.000
5,Cad6B:Expt,3084.938,68.794,7,3369,212226.206,4118578.000
6,Snai2:background,39.523,76.864,39,121,3037.892,58955.000
7,Snai2:background,23.703,78.457,49,117,1859.682,36090.000
8,Snai2:background,9.069,78.097,47,114,708.266,13745.000
9,Snai2:Cntl,3508.403,722.196,28,4061,2533755.235,49171442.000
10,Snai2:Expt,3084.938,452.355,39,2904,1395485.705,27081560.000
