 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,10.667,17.372,9,28,185.298,3596.000
2,Cad6B:background,13.552,17.840,9,30,241.774,4692.000
3,Cad6B:background,5.307,18.515,10,31,98.266,1907.000
4,Cad6B:Cntl,2518.428,72.514,7,3086,182620.940,3544042.000
5,Cad6B:Expt,2070.487,78.100,9,3223,161705.474,3138145.000
6,Snai2:background,10.667,56.425,31,86,601.859,11680.000
7,Snai2:background,13.552,56.335,29,89,763.454,14816.000
8,Snai2:background,5.307,55.757,32,96,295.931,5743.000
9,Snai2:Cntl,2518.428,721.241,27,4780,1816393.025,35249918.000
10,Snai2:Expt,2070.487,389.564,25,1970,806587.353,15653076.000
