 ,Label,Area,Mean,Min,Max,IntDen,RawIntDen
1,Cad6B:background,20.199,17.872,9,35,361.012,7006.000
2,Cad6B:background,5.668,17.800,8,37,100.894,1958.000
3,Cad6B:background,12.934,17.944,9,33,232.087,4504.000
4,Cad6B:Cntl,2670.542,92.282,7,8658,246443.884,4782625.000
5,Cad6B:Expt,2407.641,79.775,8,3184,192070.071,3727417.000
6,Snai2:background,20.199,32.296,14,52,652.357,12660.000
7,Snai2:background,5.668,33.291,16,56,188.699,3662.000
8,Snai2:background,12.934,32.255,17,59,417.179,8096.000
9,Snai2:Cntl,2670.542,855.483,20,4431,2284602.884,44336255.000
10,Snai2:Expt,2407.641,402.635,15,3299,969400.185,18812711.000
